begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,265,317.668246928606,545964.711291234,6497454.8311314,1.0,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,515,317.577661488021,545796.226990274,6497639.52818557,0.9998684385363972,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,765,317.577661487661,545627.579428842,6497824.07628234,0.9993219683230316,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,1015,311.37548622181,545450.353378155,6497999.91037078,0.9982894446585707,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,1265,311.37548622181,545262.754892976,6498165.15808894,0.9989252315881693,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,1515,311.375486217406,545075.156407797,6498330.4058071,0.9995682768886018,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,1765,311.375486217406,544887.557922615,6498495.65352526,0.9970459413683559,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,2015,304.42605979299,544694.315587733,6498653.92793245,0.9974807626850377,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,2265,304.426059793431,544488.101475364,6498795.26349012,0.9961718111399305,1383.1,67.26581598404942
6495870.83159939,6511758.35873335,2515,304.426059788589,544281.887362996,6498936.59904778,0.9987931965704289,1387.86,79.71486937830358
6495870.83159939,6511758.35873335,2765,304.426059793431,544075.673250623,6499077.93460544,0.9977342624326933,1388.43,71.12387152004592
6495870.83159939,6511758.35873335,3015,308.01207843744294,543875.589246613,6499227.72150662,0.9995618030637837,1399.55,54.69997714807567
6495870.83159939,6511758.35873335,3265,308.012078442017,543678.619009259,6499381.67840187,0.9997997834584372,1388.25,60.37456003980485
6495870.83159939,6511758.35873335,3515,313.445720379234,543482.295066157,6499536.38591736,0.9998283642694062,1370.39,58.83024647237167
6495870.83159939,6511758.35873335,3765,314.407477600207,543302.6578443592,6499710.2433927,0.998977326364952,1368.85,57.34010376690994
6495870.83159939,6511758.35873335,4015,314.407477600627,543124.062504013,6499885.18253757,1.0,1335.33,56.39983244655963
6495870.83159939,6511758.35873335,4265,314.407477600627,542945.4671636729,6500060.12168244,1.0,1295.01,44.761031042637974
6495870.83159939,6511758.35873335,4515,319.297083786636,542773.629507912,6500241.40436506,0.9987128375185789,1272.57,53.75486117552532
6495870.83159939,6511758.35873335,4765,319.297083786743,542610.595260381,6500430.92965132,0.9982145525536433,1252.35,57.70569729238179
6495870.83159939,6511758.35873335,5015,319.297083786636,542447.561012849,6500620.45493758,0.9983809786190033,1219.92,48.752985549605064
6495870.83159939,6511758.35873335,5265,319.29708378704,542284.526765317,6500809.98022384,0.9991413580588855,1212.81,47.36342365159005
6495870.83159939,6511758.35873335,5515,319.297083786636,542121.492517786,6500999.5055101,0.9978210362068091,1221.22,44.28647197508512
6495870.83159939,6511758.35873335,5765,319.297083786636,541958.4582702529,6501189.03079636,0.9986802901586861,1254.72,55.359385834743506
6495870.83159939,6511758.35873335,6015,319.297083786636,541795.424022722,6501378.55608262,0.9996598056695006,1290.2,54.92412948786717
