sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,terr_corr_2700,boug_slab_corr_2700,ba_error,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_oth,rep_error_day1,terr_corr_std,ba_terr_error,rep_error_max,boug_slab_corr_2670,boug_slab_corr_2730,terr_corr_2670,terr_corr_2730,grav_theo_2670,boug_anom_2670,grav_theo_2730,boug_anom_2730,error,dist,outer_grav,grav_mean,grav_sd,thick_mean,thick_sd
102.0,6427.990504215868,0.001120606811373,2023-07-06 14:42:20.500,58.64704782247578,-134.20728529071366,546007.8282862417,6501023.4752422925,1190.7413350762572,0.0358191948428383,9493.0,-2.9383674980356144e-12,0.0,981812.25529845,0.0691637238516654,367.46277600453294,0.0700414682133099,5.685732684981247,134.73700713779664,0.069519126796025,-981444.7925224454,0.0,0.0,-981573.8437968984,0.0,0.0,0.0627964953213198,0.161967002109681,0.0712307612840545,0.0995325592134943,0.1546144094018018,133.23992928070996,136.23408499488323,5.62255109739624,5.748899015748435,-981572.4099006288,0.0,-981575.2777084246,0.0,0.3513376934064467,0.0,-7.4055792261224935,0.0,0.0,-2.0617641924198087,0.1697714129481014
9.0,6429.661315779017,0.0017690602214704,2023-07-06 21:16:19.500,58.64555727336074,-134.21476045622606,545575.9371909971,6500852.416063404,1115.9244705691806,0.0485183258631482,33132.0,1.3602814193327504,1.3602814193356887,981812.1374680494,0.069177268748274,344.37429161764913,0.0707790782264242,3.0411866096670224,126.27118831538044,0.0698278372068707,-981467.7631764318,-22.970653986325487,-21.6103725669898,-981590.9931781376,-17.084690682706423,-15.789099819864322,0.0627964953213198,0.161967002109681,0.0309483080773099,0.0763788231241967,0.1546144094018018,124.8681751118762,127.67420151888464,3.007386746025944,3.074978843366281,-981589.6239647976,-15.853782749524516,-981592.3623991072,-15.724409263370736,0.3166771837674206,464.5332720416855,-2.6996165011139466,-14.49588054669539,0.23130501438843606,377.67441399169684,20.90068891210465
1.0,6419.92622830741,0.0031458648213313,2023-07-06 15:50:24.500,58.64273011139922,-134.22006275902726,545271.8552909971,6500534.051063404,1110.9574705691807,0.0207129897543218,13577.0,-8.08485248726538,-8.084852487262442,981811.913967281,0.0692261612605944,342.8414754176492,0.0695206403378823,2.8403356500960086,125.70915297257396,0.0693451003344587,-981469.0724918634,-24.279969417955726,-32.364821905218164,-981591.9413091858,-18.02881348971277,-26.259671979516742,0.0627964953213198,0.161967002109681,0.0287045672828245,0.0750512832887642,0.1546144094018018,124.31238460621204,127.10592133893589,2.808772381237532,2.871891287997641,-981590.5761040885,-26.25105594687081,-981593.3065219144,-26.113665976975216,0.3145741548243152,904.7855578190037,-1.7257656795171612,-27.42910914973884,0.2862983761067144,745.2192981296893,48.920271473840174
2.0,6412.258189678218,0.0019677050075941,2023-07-06 16:16:41.500,58.64011861834612,-134.2249348612695,544992.418490997,6500240.011063403,1110.2904705691806,0.0212138620850292,15154.0,-15.776274229319824,-15.776274229316886,981811.7075058396,0.0691826336619288,342.6356392176491,0.0694916883063867,2.7035373057360204,125.63367933181456,0.0693074676634413,-981469.071866622,-24.27934417652432,-40.0556184058412,-981592.002008648,-18.09018195909448,-33.93448597917883,0.0627964953213198,0.161967002109681,0.0272897233643378,0.0744866033271826,0.1546144094018018,124.23774956146106,127.02960910216804,2.6735045304785245,2.7335853404094053,-981590.636111653,-34.00248525353233,-981593.3678903836,-33.86645618841136,0.3136753399963896,1310.426343237363,-1.4433855169210947,-36.33057895471105,0.3161133081605078,988.5119188470715,39.75893665791336
3.0,6402.991522558663,0.0010736510451579,2023-07-06 16:37:35.500,58.63683917583956,-134.2316941643252,544604.2338909971,6499870.366063403,1111.8114705691808,0.0217492056076225,16408.0,-25.06153514946345,-25.061535149460514,981811.4482230732,0.0691629789986702,343.1050198176492,0.0694878837519309,2.637764817186522,125.80578638967822,0.0692942241856334,-981468.3432032556,-23.55068081023637,-48.61221595969688,-981591.511224828,-17.60205006110482,-42.72896307927728,0.0627964953213198,0.161967002109681,0.0268449700725301,0.0743124614293178,0.1546144094018018,124.4079443186818,127.20362846067462,2.608456405098749,2.6670732306616003,-981590.1426911692,-42.79432569001507,-981592.8797584856,-42.66358521056533,0.313397634043376,1846.4531240071824,-1.324329477519641,-44.20307068326597,0.3134765703558774,1240.7087197770627,70.12618592407257
4.0,6395.201592024492,0.0038118360943998,2023-07-06 17:04:43.500,58.63171757564836,-134.2428638693092,543962.2251909971,6499292.757063404,1116.7194705691809,0.0212138620850292,18036.0,-32.875605003697274,-32.87560500369433,981811.0432623728,0.0692596205000742,344.6196286176492,0.0695683331343052,2.636345535010591,126.36114565331708,0.0693843159895132,-981466.4236337552,-21.63111130974721,-54.50671631344154,-981590.1484338734,-16.245445874286816,-49.157671069573794,0.0627964953213198,0.161967002109681,0.0305819246419812,0.0758250448080345,0.1546144094018018,124.9571329238358,127.7651583827984,2.607053229963526,2.665637839064871,-981588.7737134492,-49.23941782409817,-981591.5231542988,-49.12105087798115,0.315801615579627,2710.054494869816,-1.3192615123066052,-49.29549377561499,0.25262875061168577,1396.6201015812906,53.01434715620246
5.0,6396.115334250238,0.0067538828436672,2023-07-06 17:27:55.500,58.62766396886583,-134.25144367127632,543469.0968909971,6498835.840063403,1127.1204705691807,0.0207129897543218,19428.0,-31.98250278626074,-31.9825027862578,981810.722719974,0.0694836662163829,347.82937721764915,0.0697770585578174,2.627429111602212,127.53805920285004,0.0696021652564633,-981462.8933427564,-18.10082031099592,-50.08332309725371,-981587.8039728476,-13.914168704184704,-45.94267873563946,0.0627964953213198,0.161967002109681,0.026642568331172,0.074527094775452,0.1546144094018018,126.12096965615169,128.95514874954836,2.5982285915481924,2.6566143771866564,-981586.4160838212,-45.98868597862453,-981589.1918771288,-45.8966714904425,0.313739876920547,3382.3257683526317,-1.4150376459535174,-47.80294890167105,0.208962228181051,1358.934332731257,61.152210978849695
6.0,6405.009085161659,0.002257303697232,2023-07-06 17:54:01.500,58.62366400395376,-134.2605524746714,542945.0644909971,6498384.620063404,1128.8464705691806,0.0207129897543218,20994.0,-23.111971884189188,-23.11197188418625,981810.4063959244,0.0691914760457187,348.3620208176491,0.0694861021175935,2.7059724395019487,127.73336280697404,0.069310474640588,-981462.0443751066,-17.2518526611384,-40.36382454532465,-981587.071765474,-13.183244846994056,-36.33994045996839,0.0627964953213198,0.161967002109681,0.0269216288762109,0.0743553360307922,0.1546144094018018,126.31410322022988,129.1526223937182,2.6759159134148263,2.736044228672128,-981585.6825624134,-36.38463366885004,-981588.4609532716,-36.295216731180304,0.3134660294600679,4073.852662008656,-1.5046932633922654,-40.97641647267343,0.254184857338985,1179.8016061773387,54.13653402007573
7.0,6419.533679676857,0.0007262409243364,2023-07-06 18:17:35.500,58.61918921404836,-134.27100137946815,542343.6483909971,6497879.758063403,1131.7044705691808,0.0207129897543218,22408.0,-8.608343584327486,-8.608343584324547,981810.0524943322,0.0691584583639913,349.2439996176492,0.0694532244996247,2.887449018539897,128.0567566080091,0.0692775136736462,-981460.8084947146,-16.0159722691169,-24.62431585344145,-981585.977802304,-12.090874477988107,-20.75086236764061,0.0627964953213198,0.161967002109681,0.0311193000639188,0.07594593298703,0.1546144094018018,126.63390375680898,129.47960945920914,2.855361501541012,2.919521271174972,-981584.5870369698,-20.78547992543442,-981587.3685829026,-20.699218062312656,0.3159929565381134,4859.0831787258285,-1.9038870640584424,-26.8745134781887,0.4191659152298423,751.021600451236,26.760420730611518
8.0,6435.21914019928,0.0032001835205489,2023-07-06 19:08:00.500,58.61331078318733,-134.28069598377982,541787.5690909971,6497219.178063404,1160.4514705691806,0.0212138620850292,25433.0,7.032263471762235,7.032263471765173,981809.5875375328,0.0692286509471976,358.11532381764914,0.0695375010712945,4.150267608859224,131.30959131702014,0.0693534021190543,-981451.4722137152,-6.679691269644536,0.352572202120637,-981578.6315374232,-4.766710034222342,2.244522946790521,0.0627964953213198,0.161967002109681,0.0347771202090316,0.0775844216033134,0.1546144094018018,129.85059585794212,132.76858677609815,4.104153184788174,4.196382032343195,-981577.2186563882,2.2235077122661373,-981580.0444184588,2.265553437542831,0.3185750103162227,5722.558785959373,-9.261128046912896,-1.4203225784383087,0.43523937717444855,-7.038995506196006,0.7524709087433725
