begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,265,317.668246928606,545964.711291234,6497454.8311314,1.0,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,515,317.577661488021,545796.226990274,6497639.52818557,0.9986843853639715,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,765,317.577661487661,545627.579428842,6497824.07628234,0.9932196832303154,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,1015,311.37548622181,545450.353378155,6497999.91037078,0.9828944465857068,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,1265,311.37548622181,545262.754892976,6498165.15808894,0.9892523158816922,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,1515,311.375486217406,545075.156407797,6498330.4058071,0.9956827688860187,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,1765,311.375486217406,544887.557922615,6498495.65352526,0.9704594136835589,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,2015,304.42605979299,544694.315587733,6498653.92793245,0.9748076268503775,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,2265,304.426059793431,544488.101475364,6498795.26349012,0.9617181113993049,1499.93,82.84723954363234
6495870.83159939,6511758.35873335,2515,304.426059788589,544281.887362996,6498936.59904778,0.9879319657042882,1489.64,105.56453192242176
6495870.83159939,6511758.35873335,2765,304.426059793431,544075.673250623,6499077.93460544,0.9773426243269329,1499.58,90.95627301071653
6495870.83159939,6511758.35873335,3015,308.01207843744294,543875.589246613,6499227.72150662,0.9956180306378368,1506.05,71.66273438824393
6495870.83159939,6511758.35873335,3265,308.012078442017,543678.619009259,6499381.67840187,0.9979978345843727,1512.07,77.92473997390044
6495870.83159939,6511758.35873335,3515,313.445720379234,543482.295066157,6499536.38591736,0.9982836426940628,1504.54,69.03193753618683
6495870.83159939,6511758.35873335,3765,314.407477600207,543302.6578443592,6499710.2433927,0.9897732636495199,1513.98,74.86828166854104
6495870.83159939,6511758.35873335,4015,314.407477600627,543124.062504013,6499885.18253757,1.0,1465.39,70.07280428240331
6495870.83159939,6511758.35873335,4265,314.407477600627,542945.4671636729,6500060.12168244,1.0,1426.54,73.03607601726698
6495870.83159939,6511758.35873335,4515,319.297083786636,542773.629507912,6500241.40436506,0.9871283751857887,1397.6,71.37702711657302
6495870.83159939,6511758.35873335,4765,319.297083786743,542610.595260381,6500430.92965132,0.9821455255364329,1368.39,61.63520017003271
6495870.83159939,6511758.35873335,5015,319.297083786636,542447.561012849,6500620.45493758,0.9838097861900333,1343.71,66.39266450444657
6495870.83159939,6511758.35873335,5265,319.29708378704,542284.526765317,6500809.98022384,0.9914135805888543,1349.1,71.66958908770162
6495870.83159939,6511758.35873335,5515,319.297083786636,542121.492517786,6500999.5055101,0.9782103620680902,1358.81,76.02403501525028
6495870.83159939,6511758.35873335,5765,319.297083786636,541958.4582702529,6501189.03079636,0.986802901586861,1389.27,71.90547336607973
6495870.83159939,6511758.35873335,6015,319.297083786636,541795.424022722,6501378.55608262,0.9965980566950061,1436.16,79.88788644093671
6495870.83159939,6511758.35873335,6265,319.297083790464,541632.389775188,6501568.08136888,0.9914479967672404,1463.58,80.28202538551204
6495870.83159939,6511758.35873335,6515,337.605568463006,541473.170898264,6501760.16352535,0.9946026999508715,1463.44,71.80324783740635
6495870.83159939,6511758.35873335,6765,339.568810409759,541379.862632395,6501992.06883987,0.9882145757398259,1476.74,81.2222407964715
6495870.83159939,6511758.35873335,7015,351.327838009648,541334.4480597529,6502237.20684273,0.9236954794030935,1470.17,78.26136403104664
6495870.83159939,6511758.35873335,7265,351.327838009582,541296.752927776,6502484.34865834,0.909740169714334,1457.59,75.27617086435787
6495870.83159939,6511758.35873335,7515,3.2334612179766,541293.231264063,6502733.64756748,0.8633244558472262,1428.17,77.77583879329109
6495870.83159939,6511758.35873335,7765,3.23346121744385,541307.332412377,6502983.2495659,0.8264167864851469,1392.55,72.50287925317173
6495870.83159939,6511758.35873335,8015,3.51525802145483,541321.490555408,6503232.84820381,0.7520061614815441,1354.42,79.47895067248939
6495870.83159939,6511758.35873335,8265,5.65585143967888,541342.837564731,6503481.8951265,0.7762268662051014,1307.94,70.77765466586189
6495870.83159939,6511758.35873335,8515,5.65585144024357,541367.475812846,6503730.67807755,0.7957760731475255,1261.13,57.48802570970758
6495870.83159939,6511758.35873335,8765,5.65585143913408,541392.114060962,6503979.46102859,0.8496345239750874,1228.91,65.68821736049777
6495870.83159939,6511758.35873335,9015,16.5070648520535,541453.777493046,6504221.18966553,0.8761631971535558,1204.99,50.91414243606584
6495870.83159939,6511758.35873335,9265,16.5070648522051,541524.810885483,6504460.8858423,0.9144266419120332,1205.42,50.80475961954746
6495870.83159939,6511758.35873335,9515,28.5029266893917,541598.124851179,6504699.63714172,0.9738437768777786,1205.67,59.13730717575836
6495870.83159939,6511758.35873335,9765,35.0169209127849,541733.174038827,6504909.5862253,0.9479685240390499,1216.34,53.09806399483884
6495870.83159939,6511758.35873335,10015,35.0169209165901,541876.628620822,6505114.33187948,0.966886618641363,1264.7,71.24949122625368
6495870.83159939,6511758.35873335,10265,35.0169209161531,542020.083202819,6505319.077533649,0.945021386027615,1313.28,74.27504022213654
6495870.83159939,6511758.35873335,10515,35.0169209161531,542163.537784816,6505523.82318783,0.9695280715006537,1364.87,77.34412130213906
6495870.83159939,6511758.35873335,10765,35.4978665836545,542307.4241944329,6505728.263572849,0.9945469186938439,1430.61,86.46847922798227
6495870.83159939,6511758.35873335,11015,38.901394282636495,542462.670467463,6505924.14825655,0.9853092941984565,1459.51,70.68684389615936
6495870.83159939,6511758.35873335,11265,38.9013942831037,542619.665966427,6506118.705223289,0.9812304309134569,1484.05,67.99373132870411
6495870.83159939,6511758.35873335,11515,38.9013942831037,542776.66146539,6506313.26219002,0.9916123383532497,1476.88,90.63192373551385
6495870.83159939,6511758.35873335,11765,38.9013942831037,542933.656964354,6506507.81915676,1.0,1474.35,73.53480468458457
6495870.83159939,6511758.35873335,12015,38.9013942831037,543090.652463318,6506702.37612349,0.9740542364237609,1480.1,73.08454008885874
