begin,end,distance,angle,xcoord,ycoord
6495870.831599390134215,6511758.358733350411057,"265",317.668246928605981,545964.711291234008968,6497454.831131399609149
6495870.831599390134215,6511758.358733350411057,"515",317.577661488021022,545796.226990274037234,6497639.528185569681227
6495870.831599390134215,6511758.358733350411057,"765",317.577661487660976,545627.579428841941990,6497824.076282340101898
6495870.831599390134215,6511758.358733350411057,"1015",311.375486221809979,545450.353378155035898,6497999.910370780155063
6495870.831599390134215,6511758.358733350411057,"1265",311.375486221809979,545262.754892976023257,6498165.158088940195739
6495870.831599390134215,6511758.358733350411057,"1515",311.375486217405978,545075.156407797010615,6498330.405807100236416
6495870.831599390134215,6511758.358733350411057,"1765",311.375486217405978,544887.557922614971176,6498495.653525260277092
6495870.831599390134215,6511758.358733350411057,"2015",304.426059792989975,544694.315587733057328,6498653.927932449616492
6495870.831599390134215,6511758.358733350411057,"2265",304.426059793431023,544488.101475363946520,6498795.263490119948983
6495870.831599390134215,6511758.358733350411057,"2515",304.426059788588987,544281.887362995999865,6498936.599047780036926
6495870.831599390134215,6511758.358733350411057,"2765",304.426059793431023,544075.673250623047352,6499077.934605440124869
6495870.831599390134215,6511758.358733350411057,"3015",308.012078437442995,543875.589246612973511,6499227.721506619825959
6495870.831599390134215,6511758.358733350411057,"3265",308.012078442017014,543678.619009259040467,6499381.678401869721711
6495870.831599390134215,6511758.358733350411057,"3515",313.445720379233990,543482.295066157006659,6499536.385917359963059
6495870.831599390134215,6511758.358733350411057,"3765",314.407477600207017,543302.657844359055161,6499710.243392700329423
6495870.831599390134215,6511758.358733350411057,"4015",314.407477600626976,543124.062504012952559,6499885.182537569664419
6495870.831599390134215,6511758.358733350411057,"4265",314.407477600626976,542945.467163673019968,6500060.121682439930737
6495870.831599390134215,6511758.358733350411057,"4515",319.297083786635994,542773.629507911973633,6500241.404365059919655
6495870.831599390134215,6511758.358733350411057,"4765",319.297083786742974,542610.595260381000116,6500430.929651319980621
6495870.831599390134215,6511758.358733350411057,"5015",319.297083786635994,542447.561012848978862,6500620.454937580041587
6495870.831599390134215,6511758.358733350411057,"5265",319.297083787039981,542284.526765316957608,6500809.980223840102553
6495870.831599390134215,6511758.358733350411057,"5515",319.297083786635994,542121.492517785984091,6500999.505510100163519
6495870.831599390134215,6511758.358733350411057,"5765",319.297083786635994,541958.458270253031515,6501189.030796360224485
6495870.831599390134215,6511758.358733350411057,"6015",319.297083786635994,541795.424022722057998,6501378.556082620285451
6495870.831599390134215,6511758.358733350411057,"6265",319.297083790464001,541632.389775188057683,6501568.081368880346417
6495870.831599390134215,6511758.358733350411057,"6515",337.605568463006023,541473.170898264041170,6501760.163525350391865
6495870.831599390134215,6511758.358733350411057,"6765",339.568810409759010,541379.862632395001128,6501992.068839870393276
6495870.831599390134215,6511758.358733350411057,"7015",351.327838009648019,541334.448059753049165,6502237.206842729821801
6495870.831599390134215,6511758.358733350411057,"7265",351.327838009582024,541296.752927775960416,6502484.348658340051770
6495870.831599390134215,6511758.358733350411057,"7515",3.233461217976600,541293.231264063040726,6502733.647567479871213
6495870.831599390134215,6511758.358733350411057,"7765",3.233461217443850,541307.332412376999855,6502983.249565900303423
6495870.831599390134215,6511758.358733350411057,"8015",3.515258021454830,541321.490555407945067,6503232.848203809931874
6495870.831599390134215,6511758.358733350411057,"8265",5.655851439678880,541342.837564731016755,6503481.895126500166953
6495870.831599390134215,6511758.358733350411057,"8515",5.655851440243570,541367.475812845979817,6503730.678077549673617
6495870.831599390134215,6511758.358733350411057,"8765",5.655851439134080,541392.114060961990617,6503979.461028589867055
6495870.831599390134215,6511758.358733350411057,"9015",16.507064852053499,541453.777493046014570,6504221.189665529876947
6495870.831599390134215,6511758.358733350411057,"9265",16.507064852205101,541524.810885483049788,6504460.885842300020158
6495870.831599390134215,6511758.358733350411057,"9515",28.502926689391700,541598.124851178959943,6504699.637141720391810
6495870.831599390134215,6511758.358733350411057,"9765",35.016920912784897,541733.174038826953620,6504909.586225300095975
6495870.831599390134215,6511758.358733350411057,"10015",35.016920916590102,541876.628620821982622,6505114.331879479810596
6495870.831599390134215,6511758.358733350411057,"10265",35.016920916153097,542020.083202818990685,6505319.077533650211990
6495870.831599390134215,6511758.358733350411057,"10515",35.016920916153097,542163.537784815998748,6505523.823187829926610
6495870.831599390134215,6511758.358733350411057,"10765",35.497866583654499,542307.424194433027878,6505728.263572850264609
6495870.831599390134215,6511758.358733350411057,"11015",38.901394282636502,542462.670467462972738,6505924.148256549611688
6495870.831599390134215,6511758.358733350411057,"11265",38.901394283103699,542619.665966426953673,6506118.705223290249705
6495870.831599390134215,6511758.358733350411057,"11515",38.901394283103699,542776.661465390003286,6506313.262190019711852
6495870.831599390134215,6511758.358733350411057,"11765",38.901394283103699,542933.656964353984222,6506507.819156760349870
6495870.831599390134215,6511758.358733350411057,"12015",38.901394283103699,543090.652463317965157,6506702.376123489812016
6495870.831599390134215,6511758.358733350411057,"12265",38.901394282688400,543247.647962281946093,6506896.933090230450034
6495870.831599390134215,6511758.358733350411057,"12515",38.901394282688400,543404.643461246043444,6507091.490056959912181
6495870.831599390134215,6511758.358733350411057,"12765",38.901394283103699,543561.638960210024379,6507286.047023699618876
6495870.831599390134215,6511758.358733350411057,"13015",38.901394282768599,543718.634459175053053,6507480.603990430012345
6495870.831599390134215,6511758.358733350411057,"13265",38.901394278950498,543875.629958139965311,6507675.160957160405815
6495870.831599390134215,6511758.358733350411057,"13515",32.485602789351702,544020.730204605963081,6507878.379134589806199
6495870.831599390134215,6511758.358733350411057,"13765",32.485602792504203,544155.002120877965353,6508089.260742370039225
6495870.831599390134215,6511758.358733350411057,"14015",32.485602792504203,544289.274037149036303,6508300.142350150272250
6495870.831599390134215,6511758.358733350411057,"14265",32.485602792273902,544423.545953423948959,6508511.023957929573953
6495870.831599390134215,6511758.358733350411057,"14515",32.485602793010599,544557.817869695019908,6508721.905565709806979
6495870.831599390134215,6511758.358733350411057,"14765",32.485602789407899,544692.089785967953503,6508932.787173490040004
6495870.831599390134215,6511758.358733350411057,"15015",32.485602792560499,544826.361702242051251,6509143.668781270273030
6495870.831599390134215,6511758.358733350411057,"15265",32.485602792504203,544960.633618513005786,6509354.550389059819281
6495870.831599390134215,6511758.358733350411057,"15515",32.485602792217598,545094.905534783960320,6509565.431996840052307
6495870.831599390134215,6511758.358733350411057,"15765",32.485602792504203,545229.177451060037129,6509776.313604620285332
6495870.831599390134215,6511758.358733350411057,"16015",34.257825264240601,545368.535972123034298,6509983.852644329890609
6495870.831599390134215,6511758.358733350411057,"16265",34.257825264240601,545509.265425938996486,6510190.480863190256059
6495870.831599390134215,6511758.358733350411057,"16515",34.257825264240601,545649.994879754958674,6510397.109082049690187
6495870.831599390134215,6511758.358733350411057,"16765",34.257825261236903,545790.724333573016338,6510603.737300899811089
6495870.831599390134215,6511758.358733350411057,"17015",41.917597057046201,545943.691937174997292,6510800.807788209989667
6495870.831599390134215,6511758.358733350411057,"17265",41.917597060967502,546110.707217638031580,6510986.834388709627092
6495870.831599390134215,6511758.358733350411057,"17515",41.917597057046201,546277.722498098970391,6511172.860989199951291
6495870.831599390134215,6511758.358733350411057,"17765",41.917597057492898,546444.737778558046557,6511358.887589699588716
6495870.831599390134215,6511758.358733350411057,"18015",41.917597057492898,546611.753059018054046,6511544.914190200157464
6495870.831599390134215,6511758.358733350411057,"18265",41.917597061017197,546778.768339480040595,6511730.940790699794888
6495870.831599390134215,6511758.358733350411057,"18515",39.974396249324300,546940.323509323992766,6511921.704765089787543
