begin,end,distance,angle,xcoord,ycoord,thick_norm,means,sds
6495870.83159939,6511758.35873335,265,317.668246928606,545964.711291234,6497454.8311314,1.0,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,515,317.577661488021,545796.226990274,6497639.52818557,0.9986843853639715,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,765,317.577661487661,545627.579428842,6497824.07628234,0.9932196832303154,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,1015,311.37548622181,545450.353378155,6497999.91037078,0.9828944465857068,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,1265,311.37548622181,545262.754892976,6498165.15808894,0.9892523158816922,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,1515,311.375486217406,545075.156407797,6498330.4058071,0.9956827688860187,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,1765,311.375486217406,544887.557922615,6498495.65352526,0.9704594136835589,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,2015,304.42605979299,544694.315587733,6498653.92793245,0.9748076268503775,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,2265,304.426059793431,544488.101475364,6498795.26349012,0.9617181113993049,1538.0,80.53458884231048
6495870.83159939,6511758.35873335,2515,304.426059788589,544281.887362996,6498936.59904778,0.9879319657042882,1543.21,108.24946143053091
6495870.83159939,6511758.35873335,2765,304.426059793431,544075.673250623,6499077.93460544,0.9773426243269329,1554.26,75.0442029739806
6495870.83159939,6511758.35873335,3015,308.01207843744294,543875.589246613,6499227.72150662,0.9956180306378368,1546.12,76.10102233216057
6495870.83159939,6511758.35873335,3265,308.012078442017,543678.619009259,6499381.67840187,0.9979978345843727,1567.39,61.56815654216066
6495870.83159939,6511758.35873335,3515,313.445720379234,543482.295066157,6499536.38591736,0.9982836426940628,1551.64,62.7185012576034
6495870.83159939,6511758.35873335,3765,314.407477600207,543302.6578443592,6499710.2433927,0.9897732636495199,1527.1,71.79798047299101
6495870.83159939,6511758.35873335,4015,314.407477600627,543124.062504013,6499885.18253757,1.0,1497.23,72.4749411865922
6495870.83159939,6511758.35873335,4265,314.407477600627,542945.4671636729,6500060.12168244,1.0,1457.51,71.86076746041613
6495870.83159939,6511758.35873335,4515,319.297083786636,542773.629507912,6500241.40436506,0.9871283751857887,1437.7,73.24145001295373
6495870.83159939,6511758.35873335,4765,319.297083786743,542610.595260381,6500430.92965132,0.9821455255364329,1416.94,71.13041824704814
6495870.83159939,6511758.35873335,5015,319.297083786636,542447.561012849,6500620.45493758,0.9838097861900333,1386.15,74.23077192108406
6495870.83159939,6511758.35873335,5265,319.29708378704,542284.526765317,6500809.98022384,0.9914135805888543,1388.84,74.65865254610479
6495870.83159939,6511758.35873335,5515,319.297083786636,542121.492517786,6500999.5055101,0.9782103620680902,1404.07,79.64085069862075
6495870.83159939,6511758.35873335,5765,319.297083786636,541958.4582702529,6501189.03079636,0.986802901586861,1439.19,86.15180729386935
6495870.83159939,6511758.35873335,6015,319.297083786636,541795.424022722,6501378.55608262,0.9965980566950061,1439.12,86.74805819152381
6495870.83159939,6511758.35873335,6265,319.297083790464,541632.389775188,6501568.08136888,0.9914479967672404,1476.94,89.16286446722088
6495870.83159939,6511758.35873335,6515,337.605568463006,541473.170898264,6501760.16352535,0.9946026999508715,1483.08,79.57106006583045
6495870.83159939,6511758.35873335,6765,339.568810409759,541379.862632395,6501992.06883987,0.9882145757398259,1512.35,84.51110873725418
6495870.83159939,6511758.35873335,7015,351.327838009648,541334.4480597529,6502237.20684273,0.9236954794030935,1531.65,77.07235237100267
6495870.83159939,6511758.35873335,7265,351.327838009582,541296.752927776,6502484.34865834,0.909740169714334,1501.26,86.888850838298
6495870.83159939,6511758.35873335,7515,3.2334612179766,541293.231264063,6502733.64756748,0.8633244558472262,1490.21,76.11350668573877
6495870.83159939,6511758.35873335,7765,3.23346121744385,541307.332412377,6502983.2495659,0.8264167864851469,1423.91,75.55701092552565
6495870.83159939,6511758.35873335,8015,3.51525802145483,541321.490555408,6503232.84820381,0.7520061614815441,1397.57,81.77105294662654
6495870.83159939,6511758.35873335,8265,5.65585143967888,541342.837564731,6503481.8951265,0.7762268662051014,1336.78,75.03580212138736
6495870.83159939,6511758.35873335,8515,5.65585144024357,541367.475812846,6503730.67807755,0.7957760731475255,1277.86,59.24525635019229
6495870.83159939,6511758.35873335,8765,5.65585143913408,541392.114060962,6503979.46102859,0.8496345239750874,1244.67,66.33265485415158
6495870.83159939,6511758.35873335,9015,16.5070648520535,541453.777493046,6504221.18966553,0.8761631971535558,1219.89,59.655661089288074
6495870.83159939,6511758.35873335,9265,16.5070648522051,541524.810885483,6504460.8858423,0.9144266419120332,1210.64,54.188655639349456
6495870.83159939,6511758.35873335,9515,28.5029266893917,541598.124851179,6504699.63714172,0.9738437768777786,1251.74,61.07661090794086
6495870.83159939,6511758.35873335,9765,35.0169209127849,541733.174038827,6504909.5862253,0.9479685240390499,1265.24,63.32931706563714
6495870.83159939,6511758.35873335,10015,35.0169209165901,541876.628620822,6505114.33187948,0.966886618641363,1311.32,77.88104775874551
6495870.83159939,6511758.35873335,10265,35.0169209161531,542020.083202819,6505319.077533649,0.945021386027615,1358.07,78.90060265929532
6495870.83159939,6511758.35873335,10515,35.0169209161531,542163.537784816,6505523.82318783,0.9695280715006537,1392.51,71.93698561935994
6495870.83159939,6511758.35873335,10765,35.4978665836545,542307.4241944329,6505728.263572849,0.9945469186938439,1466.87,75.57031890894731
6495870.83159939,6511758.35873335,11015,38.901394282636495,542462.670467463,6505924.14825655,0.9853092941984565,1493.9,74.15005057314525
6495870.83159939,6511758.35873335,11265,38.9013942831037,542619.665966427,6506118.705223289,0.9812304309134569,1507.01,65.94308075909102
6495870.83159939,6511758.35873335,11515,38.9013942831037,542776.66146539,6506313.26219002,0.9916123383532497,1524.78,73.39776290868816
6495870.83159939,6511758.35873335,11765,38.9013942831037,542933.656964354,6506507.81915676,1.0,1523.16,79.41218042592712
6495870.83159939,6511758.35873335,12015,38.9013942831037,543090.652463318,6506702.37612349,0.9740542364237609,1509.14,71.24759925779955
6495870.83159939,6511758.35873335,12265,38.9013942826884,543247.647962282,6506896.93309023,0.9981787404503707,1502.45,83.75743250601704
6495870.83159939,6511758.35873335,12515,38.9013942826884,543404.643461246,6507091.49005696,0.9890410794100852,1531.26,83.02356532936899
6495870.83159939,6511758.35873335,12765,38.9013942831037,543561.63896021,6507286.0470237,1.0,1550.88,67.28778195185215
6495870.83159939,6511758.35873335,13015,38.9013942827686,543718.6344591752,6507480.60399043,1.0,1563.79,69.78413788247298
6495870.83159939,6511758.35873335,13265,38.9013942789505,543875.62995814,6507675.16095716,0.9990376212782464,1579.63,76.05033267514351
6495870.83159939,6511758.35873335,13515,32.4856027893517,544020.730204606,6507878.37913459,0.9917298248882152,1590.79,67.76640686948069
6495870.83159939,6511758.35873335,13765,32.4856027925042,544155.002120878,6508089.26074237,1.0,1599.1,81.9846936933962
6495870.83159939,6511758.35873335,14015,32.4856027925042,544289.2740371489,6508300.14235015,0.997855045720104,1584.46,80.11796552584195
6495870.83159939,6511758.35873335,14265,32.4856027922739,544423.545953424,6508511.02395793,0.9999147563179069,1587.67,69.53374073066973
6495870.83159939,6511758.35873335,14515,32.4856027930106,544557.817869695,6508721.90556571,1.0,1565.79,75.6530627271626
6495870.83159939,6511758.35873335,14765,32.4856027894079,544692.089785968,6508932.78717349,0.9795782137891892,1545.15,77.39371744528104
6495870.83159939,6511758.35873335,15015,32.4856027925605,544826.361702242,6509143.66878127,1.0,1542.77,84.7376958619952
6495870.83159939,6511758.35873335,15265,32.4856027925042,544960.633618513,6509354.55038906,1.0,1540.7,73.79396994334971
6495870.83159939,6511758.35873335,15515,32.4856027922176,545094.905534784,6509565.43199684,0.9850466579654482,1528.06,92.3927291511621
6495870.83159939,6511758.35873335,15765,32.4856027925042,545229.17745106,6509776.31360462,0.993278799050048,1547.35,101.85846798376657
6495870.83159939,6511758.35873335,16015,34.2578252642406,545368.535972123,6509983.85264433,1.0,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,16265,34.2578252642406,545509.265425939,6510190.48086319,0.9874692568534646,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,16515,34.2578252642406,545649.994879755,6510397.10908205,1.0,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,16765,34.2578252612369,545790.724333573,6510603.7373009,1.0,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,17015,41.9175970570462,545943.691937175,6510800.80778821,0.9964961472975444,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,17265,41.9175970609675,546110.707217638,6510986.83438871,0.9936559406048269,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,17515,41.9175970570462,546277.722498099,6511172.8609892,1.0,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,17765,41.9175970574929,546444.737778558,6511358.8875897,1.0,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,18015,41.9175970574929,546611.753059018,6511544.9141902,0.9752090016142592,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,18265,41.9175970610172,546778.76833948,6511730.9407907,0.9770083303948778,1571.5,81.05399434944586
6495870.83159939,6511758.35873335,18515,39.97439624932431,546940.323509324,6511921.70476509,0.9057846524207138,1571.5,81.05399434944586
