sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,terr_corr_2700,boug_slab_corr_2700,ba_error,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_oth,rep_error_day1,terr_corr_std,ba_terr_error,rep_error_max,boug_slab_corr_2670,boug_slab_corr_2730,terr_corr_2670,terr_corr_2730,grav_theo_2670,boug_anom_2670,grav_theo_2730,boug_anom_2730,error,dist,outer_grav,grav_mean,mean_model_grav,grav_sd,thick_mean,thick_sd
4.0,6395.201592024492,0.0038118360943998,2023-07-06 17:04:43.500,58.63171757564836,-134.2428638693092,543962.2251909971,6499292.757063404,1116.7194705691809,0.0212138620850292,18036.0,-32.875605003697274,-32.87560500369433,981811.0432623728,0.0692596205000742,344.6196286176492,0.0695683331343052,2.636345535010591,126.36114565331708,0.0693843159895132,-981466.4236337552,-21.63111130974721,-54.50671631344154,-981590.1484338734,-16.245445874286816,-49.157671069573794,0.0627964953213198,0.161967002109681,0.0305819246419812,0.0758250448080345,0.1546144094018018,124.9571329238358,127.7651583827984,2.607053229963526,2.665637839064871,-981588.7737134492,-49.23941782409817,-981591.5231542988,-49.12105087798115,0.315801615579627,0.0,-0.2893380574721158,-49.28792293629549,-49.30944674130344,0.2274232186505618,1318.5362219155068,36.24602104373761
22.0,6398.495878519987,0.0020504508185729,2023-07-09 16:04:24.500,58.63548145575805,-134.2479552397905,543661.9115438833,6499708.502328832,1122.6731995833338,0.0544258308159969,273617.0,-33.370969344231526,-33.370969344228584,981811.3408729852,0.0691850365755712,346.4569493914168,0.0711945824217364,2.6086609438015245,127.03483321672488,0.0700026003045924,-981464.8839235936,-20.09140114823822,-53.4623704924668,-981589.3100958666,-15.414887750754133,-48.83726831252695,0.0627964953213198,0.161967002109681,0.0266543428541211,0.0749053939472289,0.1546144094018018,125.62333506987234,128.44633136357737,2.5796859954296565,2.637658781842944,-981587.927572668,-48.88864138356418,-981590.6925961754,-48.78585709498272,0.3143421854315722,512.8668563756144,-0.2072576345911398,-48.78583763474648,-48.80651451005181,0.16455861571926383,1228.6485361942944,47.59099484574012
23.0,6397.82930887868,0.002160395763768,2023-07-09 16:22:46.500,58.63858662043508,-134.25292133756196,543369.7498438832,6500051.010328831,1130.2041995833338,0.054618413195657,274719.0,-34.05387899211746,-34.05387899211452,981811.586383342,0.0691883823142284,348.7810159914168,0.0712118771039082,2.6504218392488355,127.88699511861245,0.0700116686467423,-981462.8053673503,-18.012844905024394,-52.066723897138914,-981588.0419406298,-14.155739517766053,-48.25202272368439,0.0627964953213198,0.161967002109681,0.0273616783882024,0.0751684454470136,0.1546144094018018,126.4660285061834,129.30796173104144,2.6209777916675137,2.6798811390214894,-981586.6504180648,-48.29439642829199,-981589.4334479424,-48.20961850988057,0.3147603231693627,963.0559155613576,-0.1601396350890021,-48.14223150056848,-48.161418198879716,0.15871090959629194,1183.689409793724,44.04850584220857
24.0,6396.698318189296,0.0021766621911945,2023-07-09 16:42:49.500,58.64243383790682,-134.2583409355878,543050.4019438833,6500475.869328831,1141.5871995833338,0.0544258308159969,275922.0,-35.20270727488969,-35.20270727488675,981811.8905447609,0.0691888921409955,352.2938097914168,0.0711983291653716,2.764844255658957,129.17502578242687,0.0700064108431486,-981459.5967349694,-14.804212523973549,-50.006919798860295,-981586.0069164962,-12.13376920344308,-47.36582687282932,0.0627964953213198,0.161967002109681,0.027771401073231,0.0753136659359373,0.1546144094018018,127.73974771817768,130.61030384667603,2.734112066150786,2.7955611880437914,-981584.6023706216,-47.39517726767805,-981587.411477628,-47.33647647832983,0.3149909229336701,1494.552153662357,-0.12642563951372338,-47.42524502439496,-47.44161656695765,0.16510846051049607,1103.447454590583,38.053772397823586
25.0,6394.702384866032,0.0099942059926062,2023-07-09 17:01:07.500,58.64619420192546,-134.2628455331949,542784.3341438832,6500891.667328832,1156.1411995833337,0.054618413195657,277020.0,-37.21492129436229,-37.21492129435934,981812.1878187136,0.0698730927526926,356.7851741914168,0.0718773141139029,2.7327133724027988,130.8218674130299,0.0706884049209471,-981455.402644522,-10.610122076584958,-47.8250433709443,-981583.4917985626,-9.63728871906642,-46.86292295867749,0.0627964953213198,0.161967002109681,0.0337541887671469,0.0783338742154118,0.1546144094018018,129.3682911084407,132.27544371761914,2.702350907405972,2.7630910959770745,-981582.068584723,-46.873605388679394,-981584.9149971436,-46.85221001342576,0.3197491044711147,1988.19174992792,-0.11559623635070085,-47.00203520802217,-47.01639761656224,0.18576586340092519,1026.1563210760112,37.44324486555092
26.0,6390.6035767274825,0.0012852312217782,2023-07-09 17:21:29.500,58.65005621704615,-134.26741332896478,542514.5311438832,6501318.761328831,1176.2341995833335,0.054618413195657,278242.0,-41.33184875055122,-41.33184875054828,981812.493107218,0.0691665869961585,362.9858739914167,0.0711907012895607,2.859524994179793,133.0954684082002,0.0699901297051132,-981449.5072332268,-4.7147107812343165,-46.04655953178259,-981579.7431766408,-5.9125508684664965,-47.23122849299649,0.0627964953213198,0.161967002109681,0.0281287650881826,0.0754310657589082,0.1546144094018018,131.61662987033128,134.57430694606907,2.827753850785257,2.8912808795791705,-981578.2961092462,-47.21805736802595,-981581.1902592932,-47.24439961901477,0.3151772221363342,2493.367901032278,-0.12424670983864283,-47.59665653832939,-47.61186198858166,0.21724762568361428,1022.3697562807773,35.76315046545417
27.0,6386.513145784426,0.0023245311802359,2023-07-09 17:46:53.500,58.65391691617923,-134.27175912671848,542257.6695438833,6501745.867328832,1193.3171995833338,0.0548285606231964,279766.0,-45.44487694408417,-45.44487694408123,981812.7982699828,0.0691937018998956,368.2576877914168,0.0712324220920075,2.7052310138812743,135.02847621193752,0.0700232350727458,-981444.5405821915,0.2519402538891881,-45.19293669019204,-981576.8638273895,-3.0563828414306045,-48.46490743548453,0.0627964953213198,0.161967002109681,0.0275278095953851,0.0752398415148038,0.1546144094018018,133.52815980958266,136.52879261429237,2.67517848515044,2.7352835398884,-981575.393563516,-48.428539831324784,-981578.334091266,-48.50125978551184,0.3148737161299302,2991.7627412855195,-0.13337118342996596,-48.339471116403004,-48.35837347161627,0.24269226162046112,1021.9454583529294,31.642621332253572
28.0,6384.460675860217,0.0024644234864238,2023-07-09 18:05:52.500,58.65810155917077,-134.27521752374312,542051.9599438832,6502209.614328831,1202.8771995833338,0.0544258308159969,280905.0,-47.5142354957834,-47.51423549578045,981813.1290138476,0.0691985427630103,371.2079037914168,0.0712077074533822,2.743842582759413,136.11022734486082,0.0700159487828707,-981441.921110056,2.8714123893296346,-44.64282310645082,-981575.2874948182,-1.4916440978413448,-48.95793341573314,0.0627964953213198,0.161967002109681,0.0277926161942338,0.0753303564234602,0.1546144094018018,134.59789148547344,137.62256320424814,2.713349169922936,2.7743207379713795,-981573.8056523716,-48.90998723865938,-981576.7693525224,-49.0058795936218,0.3150174154203673,3499.08681871604,-0.13291275925004647,-48.91013148894122,-48.93213405638642,0.2342074615474745,1027.0968981477008,33.37821586641743
29.0,6384.155384489033,0.0024725229230218,2023-07-09 18:28:23.500,58.66246662586526,-134.27662451966955,541965.0868438833,6502694.742328832,1209.2751995833337,0.0544258308159969,282256.0,-47.83955894399696,-47.83955894399402,981813.4739907664,0.0691988316881766,373.1823265914168,0.0712079882263984,2.744224796065822,136.8341858959532,0.0700162343349741,-981440.291664175,4.50085827044677,-43.33870067354725,-981574.3816252748,-0.5937939485302195,-48.377387320627136,0.0627964953213198,0.161967002109681,0.0298659438456039,0.0761199558081767,0.1546144094018018,135.3138060526648,138.35456573924154,2.713752566543917,2.774727541150128,-981572.8917176612,-48.32137597643738,-981575.8715023733,-48.43335289252424,0.3162681953703923,3991.9317353866713,-0.13445627874853994,-48.13823007791299,-48.15833585121996,0.245194842006536,993.2345274573594,39.9662329345255
210.0,6385.13012415392,0.0083264265173099,2023-07-09 18:51:36.500,58.66696171682445,-134.27748581541397,541909.7308438832,6503194.690328832,1213.8811995833337,0.054618413195657,283649.0,-46.885474115012585,-46.88547411500964,981813.829214648,0.0696541048033201,374.6037381914168,0.0716644508061995,2.816800325904296,137.35537268656455,0.0704719505576034,-981439.2254764568,5.56704598874785,-41.31842812626179,-981573.7640488172,0.0187730162870138,-46.8171206962668,0.0627964953213198,0.161967002109681,0.0310887019803848,0.0770246921851589,0.1546144094018018,135.82920187893606,138.881543494193,2.78548558927929,2.8480845425869745,-981572.2691927464,-46.74476623265561,-981575.2589354084,-46.86670109872263,0.3176953065121153,4494.93500519698,-0.1354241679971483,-46.73739923190251,-46.75388513805469,0.2909398179299904,950.2781181658698,36.52496748460978
