sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,boug_slab_corr_2700,ba_error,ba_terr_error,terr_corr_2700,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_max,error,dist
211.0,6386.833649620131,0.0029286873327136376,2023-07-09 19:10:07.500,58.67143241750774,-134.2771325120394,541924.8592438833,6503692.682328831,1219.3481995833338,0.054618413195657,284760.0,-45.19842210370916,-45.19842210370622,981814.1824818731,0.06921663201064131,376.2908543914168,0.07123932439530031,137.97398497146955,0.07003958628045956,0.11169273035407558,2.949594062593775,-981437.8916274817,6.9008949637645856,-38.297527139941636,-981572.9160183906,1.6149137169122696,-43.58350838679395,0.15456730415371567,0.19069954778996065,4993.156743532615
301.0,6388.401047017342,0.0034160216801898654,2023-07-11 16:38:11.500,58.67591238894598,-134.27587849027398,541992.202888366,6504192.270540251,1235.4533119499763,0.0271190222382087,448444.0,-46.05806430429493,-46.05806430429199,981814.5364524195,0.0692389640413782,381.26089206776265,0.06974290741907299,139.79634099118425,0.06944268757100308,0.07927290889606492,2.8792799626772023,-981433.2755603517,11.516962093766779,-34.54110221052521,-981570.1926213802,4.338310727267526,-41.71975357702446,0.15456730415371567,0.17371023458101442,5497.263426132672
302.0,6385.593138717244,0.0029666072581279635,2023-07-11 17:04:29.500,58.68014217104771,-134.27325678622535,542139.1299883659,6504664.862540251,1256.5133119499765,0.0262952727150045,450022.0,-48.889370544846315,-48.88937054484337,981814.8706281903,0.06921824684306671,387.7600080677627,0.0696922836154035,142.17936179237304,0.06940985598305471,0.07641842681871078,2.9052888061200974,-981427.1106201226,17.68190232280176,-31.207468222041612,-981566.384693109,8.146238998509943,-40.74313154633343,0.15456730415371567,0.17242629576370858,5992.168236351456
303.0,6382.732313998431,0.0004968100672722292,2023-07-11 17:24:56.500,58.683967928865435,-134.26914668240892,542372.8002883659,6505093.415540251,1274.4053119499763,0.0266915973136952,451249.0,-51.768388719260656,-51.768388719257715,981815.1728613642,0.06915642961899263,393.2814792677627,0.06964524657368085,144.20391108842568,0.06935402587598909,0.07671611433615431,2.9719208752712234,-981421.8913820965,22.90114034898579,-28.867248370271923,-981563.1233723096,11.40755979786627,-40.360828921391445,0.15456730415371567,0.17255843564481324,6480.286544665486
304.0,6379.364164036539,0.0012787751820544837,2023-07-11 18:06:30.500,58.68768713710191,-134.26410877909578,542660.332188366,6505510.709540251,1291.8173119499766,0.0262952727150045,453743.0,-55.173518696040446,-55.173518696037505,981815.4666566926,0.06916646733331099,398.65482246776276,0.06964085656331417,146.17414652006383,0.06935821951961178,0.07781677125710929,3.048349181278951,-981416.8118342248,27.98068822058849,-27.192830475449014,-981559.9376315636,14.593300543841906,-40.5802181521956,0.15456730415371567,0.1730505746948808,6987.049680611112
305.0,6376.280482264878,0.0031229764394724658,2023-07-11 18:30:15.500,58.691209343203816,-134.25954467461594,542920.5807883659,6505905.787540251,1305.3913119499766,0.0266915973136952,455168.0,-58.278329786552604,-58.27832978654966,981815.7448714084,0.06922512491317902,402.84375886776274,0.06971346019175466,147.7100973441539,0.06942252564410144,0.08007367633960846,3.1191823580407743,-981412.9011125406,31.891409904812463,-26.3869198817372,-981557.4920275267,17.038904580753297,-41.21755679729473,0.15456730415371567,0.17407712416020557,7460.1415954505665
306.0,6374.275420555453,0.00201992876639388,2023-07-11 18:51:56.500,58.69534956541482,-134.25503857027857,543176.649688366,6506369.656540251,1314.5533119499764,0.0262952727150045,456469.0,-60.30268219339905,-60.30268219339611,981816.0718792955,0.06918413871419549,405.6711520677627,0.06965840759827321,148.74681323116673,0.06937584205748948,0.07698395313550668,3.1079689474704537,-981410.4007272278,34.39179521764163,-25.91088697575448,-981556.0395715114,18.491360596031882,-41.81132159736423,0.15456730415371567,0.17267767821498278,7989.996038395228
307.0,6371.480685410574,0.0012836547358659666,2023-07-11 19:12:07.500,58.69923638675131,-134.250962566747,543408.047188366,6506805.050540251,1326.9553119499765,0.0262952727150045,457680.0,-63.11537355240398,-63.11537355240104,981816.3788499957,0.06916655772036547,409.4984092677627,0.06964094633465841,150.1501477029779,0.06935830965677674,0.08841143765081907,3.2040587295679472,-981406.8804407279,37.9120817175135,-25.203291834887537,-981553.8265297014,20.70440240611788,-42.41097114628316,0.15456730415371567,0.1780663747618621,8483.060677404863
308.0,6367.953784943656,0.004592730846135362,2023-07-11 19:31:42.500,58.70312560158199,-134.24663576295544,543653.921088366,6507240.888540251,1341.5663119499766,0.0262952727150045,458855.0,-66.65969644012876,-66.65969644012581,981816.6859876396,0.06930698459772132,414.00736386776276,0.06978041855370964,151.80343910498024,0.06949834908535212,0.07755989742195062,3.19013262250985,-981402.6786237719,42.11389867356047,-24.545797766565343,-981551.2919302543,23.239001853158697,-43.420694586967116,0.15456730415371567,0.17293521677625628,8983.469247421013
309.0,6365.377771273171,0.0015875504545201802,2023-07-11 19:51:58.500,58.707022259785816,-134.24285255956676,543868.234688366,6507677.215540251,1353.0633119499764,0.0266915973136952,460071.0,-69.25374046270008,-69.25374046269714,981816.9936909358,0.06917286501113991,417.5553380677627,0.06966156663836601,153.1043693115931,0.06937041445320956,0.07698751790684989,3.2232434164312167,-981399.438352868,45.35416957747657,-23.89957088522057,-981549.3194787632,25.211453344323672,-44.042287118373466,0.15456730415371567,0.17267926750714685,9469.588132132967
310.0,6364.16279381015,0.001444180540609298,2023-07-11 20:10:44.500,58.71099160000361,-134.2380081563022,544143.883188366,6508122.345540251,1360.7053119499765,0.0266915973136952,461197.0,-70.48541379451126,-70.48541379450832,981817.3071108212,0.06916972310800161,419.91365926776274,0.06965844677782973,153.96909129462657,0.06936728149782356,0.07770537987063482,3.2614873790019487,-981397.3934515535,47.39907089190092,-23.0863429026074,-981548.1010554692,26.429876638227142,-44.055537156281176,0.15456730415371567,0.1730005132194321,9993.15552268757
311.0,6362.957211438502,0.001842961771513153,2023-07-11 20:29:02.500,58.71480160233196,-134.23351285172666,544399.449088366,6508549.523540251,1370.0013119499763,0.0271190222382087,462295.0,-71.70727686236933,-71.70727686236638,981817.607927693,0.06917919806918114,422.7824048677627,0.06968357366867114,155.0209698021218,0.0693830970846335,0.07824663391579556,3.3223844432847613,-981394.8255228252,49.9669996201992,-21.74027724216718,-981546.5241081842,28.006823923322372,-43.70045293904401,0.15456730415371567,0.17324429927850377,10490.945611909015
312.0,6360.924804785083,0.0020478945791726254,2023-07-11 20:48:48.500,58.718562918273655,-134.22879464808224,544667.929988366,6508971.446540251,1383.5033119499765,0.0262952727150045,463481.0,-73.75726904010935,-73.75726904010641,981817.9048797368,0.06918496086297327,426.94912206776274,0.06965922414952141,156.54877354654968,0.06937666193448504,0.07820092469751252,3.379482543399149,-981390.955757669,53.83676477638073,-19.920504263725675,-981544.1250486722,30.405883435276337,-43.35138560483007,0.15456730415371567,0.17322365928733083,10991.046613301878
313.0,6359.148096641278,0.0018200951244995382,2023-07-11 21:08:27.500,58.72219702967228,-134.22392274473535,544945.4165883659,6509379.328540251,1394.9143119499763,0.0285734381402809,464660.0,-75.55145891508982,-75.55145891508688,981818.1917694606,0.06917859266901838,430.47055666776265,0.06973830101291605,157.83997251912163,0.06940491405676291,0.07879652184409085,3.4313073942967662,-981387.7212127928,57.07130965264514,-18.480149262441742,-981542.1298779176,32.40105418988969,-43.15040472519719,0.15456730415371567,0.1734933525183992,11484.368555954894
