sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,boug_slab_corr_2700,ba_error,ba_terr_error,terr_corr_2700,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_max,error,dist
102.0,6427.990504215868,0.001120606811373093,2023-07-06 14:42:20.500,58.647047822475784,-134.20728529071366,546007.8282862417,6501023.4752422925,1190.7413350762572,0.03581919484283835,9493.0,-2.9383674980356144e-12,0.0,981812.25529845,0.06916372385166543,367.46277600453294,0.07004146821330996,134.73700713779664,0.06951912679602504,0.09800023834957998,4.998597475826756,-981444.7925224454,0.0,0.0,-981574.5309321075,0.0,0.0,0.15456730415371567,0.18301666107194103,0.0
9.0,6429.661315779017,0.0017690602214704366,2023-07-06 21:16:19.500,58.645557273360744,-134.21476045622606,545575.9371909971,6500852.416063404,1115.9244705691806,0.0485183258631482,33132.0,1.3602814193327504,1.3602814193356887,981812.1374680494,0.069177268748274,344.37429161764913,0.07077907822642428,126.27118831538043,0.06982783720687076,0.07684177649868777,3.030404081027541,-981467.7631764318,-22.970653986325487,-21.6103725669898,-981591.0039606661,-16.473028558655642,-15.112747139319954,0.15456730415371567,0.17261433929086406,464.5332720416855
1.0,6419.92622830741,0.0031458648213313605,2023-07-06 15:50:24.500,58.64273011139922,-134.22006275902726,545271.8552909971,6500534.051063404,1110.9574705691807,0.0207129897543218,13577.0,-8.08485248726538,-8.084852487262442,981811.913967281,0.06922616126059444,342.8414754176492,0.0695206403378823,125.70915297257397,0.0693451003344587,0.07542669164119321,2.8063132176710184,-981469.0724918634,-24.279969417955726,-32.364821905218164,-981591.9753316183,-17.444399510859512,-25.60653565019881,0.15456730415371567,0.17198906164428857,904.7855578190035
2.0,6412.258189678218,0.001967705007594173,2023-07-06 16:16:41.500,58.640118618346115,-134.2249348612695,544992.418490997,6500240.011063403,1110.2904705691806,0.0212138620850292,15154.0,-15.776274229319824,-15.776274229316886,981811.7075058396,0.06918263366192882,342.6356392176491,0.06949168830638675,125.63367933181456,0.06930746766344133,0.07517199143046112,2.7022015806158493,-981469.071866622,-24.27934417652432,-40.0556184058412,-981592.0033443732,-17.472412265720777,-33.24868649503766,0.15456730415371567,0.17187751397134113,1310.426343237363
3.0,6402.991522558663,0.0010736510451579454,2023-07-06 16:37:35.500,58.63683917583956,-134.2316941643252,544604.2338909971,6499870.366063403,1111.8114705691808,0.0217492056076225,16408.0,-25.061535149463452,-25.061535149460514,981811.4482230733,0.06916297899867027,343.1050198176492,0.06948788375193092,125.80578638967822,0.06929422418563341,0.0747618998141659,2.630008742162147,-981468.3432032557,-23.550680810236372,-48.61221595969688,-981591.5189809031,-16.988048795610666,-42.04958394507118,0.15456730415371567,0.17169855321804733,1846.4531240071826
4.0,6395.201592024492,0.0038118360943998424,2023-07-06 17:04:43.500,58.63171757564836,-134.2428638693092,543962.2251909971,6499292.757063404,1116.7194705691809,0.0212138620850292,18036.0,-32.875605003697274,-32.87560500369433,981811.0432623728,0.06925962050007425,344.6196286176492,0.0695683331343052,126.36114565331708,0.06938431598951325,0.07557384882847831,2.595719458859975,-981466.4236337552,-21.63111130974721,-54.506716313441544,-981590.1890599496,-15.658127842121758,-48.5110917833738,0.15456730415371567,0.17205364901709275,2710.054494869816
5.0,6396.115334250238,0.006753882843667262,2023-07-06 17:27:55.500,58.62766396886583,-134.25144367127632,543469.0968909971,6498835.840063403,1127.1204705691807,0.0207129897543218,19428.0,-31.98250278626074,-31.9825027862578,981810.7227199741,0.06948366621638297,347.82937721764915,0.06977705855781742,127.53805920285005,0.06960216525646339,0.07511185310605087,2.6111733236994183,-981462.8933427564,-18.100820310995914,-50.08332309725371,-981587.8202286356,-13.289296528091654,-45.27179931434945,0.15456730415371567,0.17185122050882332,3382.3257683526313
6.0,6405.009085161659,0.002257303697232098,2023-07-06 17:54:01.500,58.62366400395376,-134.2605524746714,542945.0644909971,6498384.620063404,1128.8464705691806,0.0207129897543218,20994.0,-23.111971884189188,-23.11197188418625,981810.4063959243,0.06919147604571878,348.3620208176491,0.06948610211759353,127.73336280697404,0.06931047464058801,0.07508302116184914,2.6659657734055315,-981462.0443751066,-17.2518526611384,-40.36382454532465,-981587.1117721401,-12.580840032664128,-35.692811916850374,0.15456730415371567,0.17183862074672834,4073.8526620086564
7.0,6419.533679676857,0.0007262409243364421,2023-07-06 18:17:35.500,58.619189214048355,-134.27100137946817,542343.6483909971,6497879.758063403,1131.7044705691808,0.0207129897543218,22408.0,-8.608343584327486,-8.608343584324547,981810.0524943322,0.0691584583639913,349.2439996176492,0.06945322449962478,128.0567566080091,0.06927751367364621,0.0761631186066815,2.8388662405066754,-981460.8084947146,-16.0159722691169,-24.62431585344145,-981586.026385082,-11.495452974573709,-20.112309936507035,0.15456730415371567,0.17231329649578028,4859.0831787258285
8.0,6435.21914019928,0.00320018352054893,2023-07-06 19:08:00.500,58.61331078318733,-134.28069598377982,541787.5690909971,6497219.178063404,1160.4514705691806,0.0212138620850292,25433.0,7.032263471762235,7.032263471765173,981809.5875375328,0.06922865094719766,358.11532381764914,0.06953750107129456,131.30959131702014,0.06935340211905433,0.07800434374432487,3.3664467908078564,-981451.4722137151,-6.679691269644536,0.352572202120637,-981579.4153582413,-4.884426133823581,2.147837337941592,0.15456730415371567,0.1731350026896065,5722.558785959373
