sta,grav_avg,grav_std,Datetime,Lat,Long,x_8N,y_8N,Elev,Elev_std,secs_elapsed,linear_drift_corr,grav_anom,theo_grav_0,drift_corr_grav_uc,fac,faa_error,boug_slab_corr_2700,ba_error,ba_terr_error,terr_corr_2700,fa_grav_theo,fa_grav_theo_rel,fa_anom,grav_theo_2700,grav_theo_rel,boug_anom_2700,rep_error_max,error,dist
413.0,6394.006026585719,0.0014007144066771236,2023-07-12 20:07:07.500,58.68535437062279,-134.24414341280135,543820.6410136012,6505263.850700836,1314.3041928273951,0.0243776843472561,547380.0,-41.92006739547833,-41.920067395475385,981815.2823843767,0.06916882923870267,405.5942739065341,0.06957673293533083,148.7186244348189,0.06933366045415083,0.08476554459405465,3.391138877592198,-981409.6881104702,35.104411975247785,-6.8156554202276,-981555.0155960274,19.515336080105044,-22.40473131537034,0.15456730415371567,0.17628456842183865,0.0
412.0,6386.634627858378,0.0021122780945684316,2023-07-12 19:51:05.500,58.68697298402899,-134.24802311184763,543593.7013136012,6505441.539700836,1312.316192827395,0.0234578663593784,546418.0,-49.27720197914641,-49.27720197914347,981815.4102444137,0.06918689656396311,404.9807771065341,0.06956458286810949,148.49367451303527,0.06933949730039293,0.07710888386074606,3.200420706028126,-981410.4294673072,34.363055138266645,-14.914146840876825,-981555.7227211142,18.808210993302055,-30.468990985841415,0.15456730415371567,0.17273341160180122,288.2273549772331
411.0,6380.607554908985,0.0038472958054218886,2023-07-12 19:39:10.500,58.68853311540165,-134.25242221208032,543336.7463136013,6505612.394700835,1311.791192827395,0.0243776843472561,545703.0,-55.293673200133526,-55.293673200130584,981815.5334811277,0.06926158114292623,404.81876210653405,0.0696689417898657,148.43426872383185,0.06942619214775375,0.07910108715451544,3.1539910830780684,-981410.7147190211,34.0778034243267,-21.21586977580388,-981555.9949966619,18.53593544557225,-36.757737754558335,0.15456730415371567,0.1736318907988204,596.8003658673837
410.0,6377.606409887155,0.0018385240228344774,2023-07-12 19:23:47.500,58.690124742787624,-134.25665900997606,543089.1830136012,6505786.877700836,1309.396192827395,0.0254218703901671,544780.0,-58.28113235438468,-58.28113235438174,981815.6592020891,0.06917907998800125,404.0796651065341,0.06962249709402712,148.16326517118006,0.06935828914920657,0.0766682419275962,3.0910403617621682,-981411.5795369826,33.21298546285834,-25.068146891523398,-981556.651761792,17.879170315456577,-40.40196203892516,0.15456730415371567,0.17253715783452464,899.6731193402512
305.0,6376.280482264878,0.0031229764394724658,2023-07-11 18:30:15.500,58.691209343203816,-134.25954467461594,542920.5807883659,6505905.787540251,1305.3913119499766,0.0266915973136952,455168.0,-58.278329786552604,-58.27832978654966,981815.7448714084,0.06922512491317902,402.84375886776274,0.06971346019175466,147.7100973441539,0.06942252564410144,0.08007367633960846,3.1191823580407743,-981412.9011125406,31.891409904812463,-26.3869198817372,-981557.4920275267,17.038904580753297,-41.21755679729473,0.15456730415371567,0.17407712416020557,1105.989042778067
401.0,6382.673347942335,0.0028198384549744607,2023-07-12 15:56:52.500,58.69321341602797,-134.26500720905054,542601.5066136012,6506125.439700835,1289.6891928273951,0.0234578663593784,532365.0,-53.0301097423353,-53.03010974233236,981815.9031625647,0.06921211184695848,397.99808490653413,0.06958966129948782,145.9333415753098,0.06936465711033653,0.07678781438649922,3.0710105163835237,-981417.9050776582,26.88744478719309,-26.142664955139267,-981560.7674087172,13.763523390283808,-39.26658635204855,0.15456730415371567,0.17259032403817634,1493.3588927289638
402.0,6386.620303591848,0.0032718261320582877,2023-07-12 16:16:27.500,58.69483655565906,-134.26926820790104,542352.5682136012,6506303.462700835,1289.335192827395,0.0234578663593784,533540.0,-49.100576513628766,-49.100576513625825,981816.0313615158,0.06923199970853187,397.8888405065341,0.06960944129285696,145.8932851003041,0.06938450124747476,0.09680274042807956,3.216052760306013,-981418.1425210092,26.65000143623911,-22.450575077386716,-981560.8197533493,13.711178758181632,-35.38939775544419,0.15456730415371567,0.18237823901916972,1799.4022156810718
403.0,6392.172140052936,0.004124527637378941,2023-07-12 16:30:07.500,58.69641516970194,-134.27325590604113,542119.5455136013,6506476.715700836,1290.517192827395,0.0234578663593784,534360.0,-43.56089867812534,-43.5608986781224,981816.1560400525,0.06927753362840827,398.25360570653413,0.06965472847622609,146.02703299142493,0.0694299351530297,0.081465350242979,3.215660275093626,-981417.902434346,26.890088099404238,-16.67081057871816,-981560.7138070624,13.817125045112334,-29.743668099334414,0.15456730415371567,0.1747216494987341,2089.774701850901
404.0,6400.007040724503,0.0011616219572743698,2023-07-12 16:46:14.500,58.69805189132558,-134.2774961053391,541871.8408136013,6506656.294700836,1290.291192827395,0.0234578663593784,535327.0,-35.74033628819325,-35.740336288190306,981816.2853040689,0.06916440054663496,398.1838621065341,0.06954220902758913,146.0014602135964,0.06931705080782093,0.0776451431175713,3.3114247437404174,-981418.1014419624,26.69108048302587,-9.049255805164435,-981560.7914774322,13.739454675232992,-22.000881612957315,0.15456730415371567,0.17297346548848289,2395.726063415217
405.0,6408.805627404394,0.0029906065000073275,2023-07-12 16:59:29.500,58.699589678627135,-134.281748004532,541623.5990136012,6506824.866700836,1289.9851928273952,0.0234578663593784,536122.0,-26.953537544082792,-26.953537544079854,981816.4067509443,0.06921927957326357,398.08943050653414,0.06959679014224122,145.96683512503213,0.06937180907515886,0.1005915375088505,3.796460712444997,-981418.3173204378,26.475202007684857,-0.47833553639499726,-981560.4876948503,14.043237257166766,-12.910300286913088,0.15456730415371567,0.18441721430425556,2695.793573238405
