Name,8N_x error,8N_y error,Elevation error,8N_x corr,8N_y corr,Elevation corr
1.0,0.013636557577147783,0.013629602015823635,0.020712989754321853,545271.8552909971,6500534.0510634035,1110.9574705691807
2.0,0.013636557577147783,0.013629602015823635,0.021213862085029258,544992.418490997,6500240.011063403,1110.2904705691806
3.0,0.013636557577147783,0.013629602015823635,0.021749205607622592,544604.2338909971,6499870.366063403,1111.8114705691808
4.0,0.013636557577147783,0.013629602015823635,0.021213862085029258,543962.2251909971,6499292.757063404,1116.7194705691807
5.0,0.013636557577147783,0.013629602015823635,0.020712989754321853,543469.0968909971,6498835.840063403,1127.1204705691807
6.0,0.013636557577147783,0.01437936198548961,0.020712989754321853,542945.0644909971,6498384.620063404,1128.8464705691806
7.0,0.013636557577147783,0.013629602015823635,0.020712989754321853,542343.6483909971,6497879.758063403,1131.7044705691808
71.0,0.013636557577147783,0.013629602015823635,0.020712989754321853,542343.6483909971,6497879.758063403,1131.7044705691808
8.0,0.01438595504493416,0.013629602015823635,0.021213862085029258,541787.5690909971,6497219.178063404,1160.4514705691806
11.0,0.013636557577147783,0.013629602015823635,0.021749205607622592,545270.5030909971,6500531.0170634035,1110.8554705691806
9.0,0.13132766541195678,0.024794476221726154,0.04851832586314827,545575.9371909971,6500852.416063404,1115.9244705691806
21.0,0.014286406878845305,0.014866372243894189,0.05442583081599695,543963.0739438833,6499291.783328831,1116.3571995833338
22.0,0.014286406878845305,0.014866372243894189,0.05442583081599695,543661.9115438833,6499708.502328832,1122.6731995833338
23.0,0.014286406878845305,0.014866372243894189,0.054618413195657044,543369.7498438832,6500051.010328831,1130.2041995833338
24.0,0.014286406878845305,0.014866372243894189,0.05442583081599695,543050.4019438833,6500475.869328831,1141.5871995833338
25.0,0.014286406878845305,0.014866372243894189,0.054618413195657044,542784.3341438832,6500891.667328832,1156.1411995833337
26.0,0.014286406878845305,0.014866372243894189,0.054618413195657044,542514.5311438832,6501318.761328831,1176.2341995833337
27.0,0.014286406878845305,0.014866372243894189,0.05482856062319641,542257.6695438833,6501745.867328832,1193.3171995833338
28.0,0.014286406878845305,0.014866372243894189,0.05442583081599695,542051.9599438832,6502209.614328831,1202.8771995833338
29.0,0.014286406878845305,0.014866372243894189,0.05442583081599695,541965.0868438833,6502694.742328832,1209.2751995833337
210.0,0.014286406878845305,0.01555663921591124,0.054618413195657044,541909.7308438832,6503194.690328832,1213.8811995833337
211.0,0.014286406878845305,0.014866372243894189,0.054618413195657044,541924.8592438833,6503692.682328831,1219.3481995833338
212.0,0.014286406878845305,0.014866372243894189,0.054618413195657044,541908.9651438833,6503195.756328831,1213.8591995833337
301.0,0.01481837691159218,0.016191088195673158,0.027119022238208768,541992.202888366,6504192.270540251,1235.4533119499765
302.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,542139.1299883659,6504664.862540251,1256.5133119499765
303.0,0.01481837691159218,0.016191088195673158,0.026691597313695217,542372.8002883659,6505093.415540251,1274.4053119499765
304.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,542660.332188366,6505510.709540251,1291.8173119499766
305.0,0.01481837691159218,0.016191088195673158,0.026691597313695217,542920.5807883659,6505905.787540251,1305.3913119499766
306.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,543176.649688366,6506369.656540251,1314.5533119499764
307.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,543408.047188366,6506805.050540251,1326.9553119499765
308.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,543653.921088366,6507240.888540251,1341.5663119499766
309.0,0.01481837691159218,0.016191088195673158,0.026691597313695217,543868.234688366,6507677.215540251,1353.0633119499764
310.0,0.01481837691159218,0.016191088195673158,0.026691597313695217,544143.883188366,6508122.345540251,1360.7053119499765
311.0,0.01481837691159218,0.016191088195673158,0.027119022238208768,544399.449088366,6508549.523540251,1370.0013119499765
312.0,0.01481837691159218,0.016191088195673158,0.02629527271500453,544667.929988366,6508971.446540251,1383.5033119499765
313.0,0.01481837691159218,0.016827101264331495,0.028573438140280943,544945.4165883659,6509379.328540251,1394.9143119499765
